Experiment	Sample	description
PRJNA393479	SRR5812575	Illumina HiSeq 2500 sequencing: GSM2696089: Subclone HP biological replicate 3 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812576	Illumina HiSeq 2500 sequencing: GSM2696090: Subclone LP biological replicate 1 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812578	Illumina HiSeq 2500 sequencing: GSM2696091: Subclone LP biological replicate 2 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812579	Illumina HiSeq 2500 sequencing: GSM2696091: Subclone LP biological replicate 2 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812566	Illumina HiSeq 2000 sequencing: GSM2696083: HP biological replicate 3 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812571	Illumina HiSeq 2500 sequencing: GSM2696087: Subclone HP biological replicate 1 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812567	Illumina HiSeq 2000 sequencing: GSM2696084: LP biological replicate 1 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812568	Illumina HiSeq 2000 sequencing: GSM2696085: LP biological replicate 2 Cricetulus griseus RNA-Seq
PRJNA393479	SRR5812572	Illumina HiSeq 2500 sequencing: GSM2696088: Subclone HP biological replicate 2 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502223	NextSeq 550 sequencing: GSM5974767: CHO 42.5°C_1h_D4 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502227	NextSeq 550 sequencing: GSM5974763: CHO 40°C_6h_D3 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502237	NextSeq 550 sequencing: GSM5974753: CHO Ctrl_B1 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502228	NextSeq 550 sequencing: GSM5974762: CHO 40°C_6h_C3 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502231	NextSeq 550 sequencing: GSM5974759: CHO 40°C_1h_D2 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502232	NextSeq 550 sequencing: GSM5974758: CHO 40°C_1h_C2 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502238	NextSeq 550 sequencing: GSM5974752: CHO Ctrl_A1 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502234	NextSeq 550 sequencing: GSM5974756: CHO 40°C_1h_A2 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502235	NextSeq 550 sequencing: GSM5974755: CHO Ctrl_D1 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502236	NextSeq 550 sequencing: GSM5974754: CHO Ctrl_C1 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502224	NextSeq 550 sequencing: GSM5974766: CHO 42.5°C_1h_C4 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502225	NextSeq 550 sequencing: GSM5974765: CHO 42.5°C_1h_B4 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502226	NextSeq 550 sequencing: GSM5974764: CHO 42.5°C_1h_A4 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502229	NextSeq 550 sequencing: GSM5974761: CHO 40°C_6h_B3 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502230	NextSeq 550 sequencing: GSM5974760: CHO 40°C_6h_A3 Cricetulus griseus RNA-Seq
PRJNA820638	SRR18502233	NextSeq 550 sequencing: GSM5974757: CHO 40°C_1h_B2 Cricetulus griseus RNA-Seq
